,ZONE CHART,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
0,,,,,,,,,
1,UPS Ground/UPS 3 Day Select/UPS 2nd Day Air/UPS 2nd Day Air A.M./UPS Next Day Air Saver/UPS Next Day Air,,,,,,,,
2,,,,,,,,,
3,For shipments originating in ZIP Codes 464-01 to 464-99. To determine zone,,,,,,,,
4,take the first three digits of the receiver's ZIP Code and refer to the chart below:,,,,,,,,
5,,,,,,,,,
6,ZONES,,,,,,,,
7,Dest. ZIP,Ground,3 Day Select,2nd Day Air,2nd Day Air A.M.,Next Day Air Saver,Next Day Air,,
374,389,004,304,204,244,134,104,,
375,390,005,305,205,245,135,105,,
376,391,005,305,205,245,135,105,,
377,392,005,305,205,245,135,105,,
378,393,005,305,205,245,135,105,,
379,394,005,305,205,245,135,105,,
380,395,005,305,205,245,135,105,,
381,396,005,305,205,245,135,105,,
382,397,004,304,204,244,134,104,,
383,398,005,305,205,245,135,105,,
384,399,004,304,204,244,134,104,,
385,400,003,303,203,243,133,103,,
386,401,003,303,203,243,133,103,,
387,402,003,303,203,243,133,103,,
388,403,003,303,203,243,133,103,,
389,404,003,303,203,243,133,103,,
390,405,003,303,203,243,133,103,,
391,406,003,303,203,243,133,103,,
392,407,004,304,204,244,134,104,,
393,408,004,304,204,244,134,104,,
394,409,004,304,204,244,134,104,,
395,410,003,303,203,243,133,103,,
396,411,004,304,204,244,134,104,,
397,412,004,304,204,244,134,104,,
398,413,004,304,204,244,134,104,,
399,414,004,304,204,244,134,104,,
400,415,004,304,204,244,134,104,,
401,416,004,304,204,244,134,104,,
402,417,004,304,204,244,134,104,,
403,418,004,304,204,244,134,104,,
404,420,004,304,204,244,134,104,,
405,421,004,304,204,244,134,104,,
406,422,004,304,204,244,134,104,,
407,423,003,303,203,243,133,103,,
408,424,003,303,203,243,133,103,,
409,425,004,304,204,244,134,104,,
410,426,004,304,204,244,134,104,,
411,427,003,303,203,243,133,103,,
412,430,003,303,203,243,133,103,,
413,431,003,303,203,243,133,103,,
414,432,003,303,203,243,133,103,,
415,433,003,303,203,243,133,103,,
416,434,003,303,203,243,133,103,,
417,435,003,303,203,243,133,103,,
418,436,003,303,203,243,133,103,,
419,437,003,303,203,243,133,103,,
420,438,003,303,203,243,133,103,,
421,439,004,304,204,244,134,104,,
422,440,003,303,203,243,133,103,,
423,441,003,303,203,243,133,103,,
424,442,003,303,203,243,133,103,,
425,443,003,303,203,243,133,103,,
426,444,004,304,204,244,134,104,,
427,445,004,304,204,244,134,104,,
428,446,004,304,204,244,134,104,,
429,447,004,304,204,244,134,104,,
430,448,003,303,203,243,133,103,,
431,449,003,303,203,243,133,103,,
432,450,003,303,203,243,133,103,,
433,451,003,303,203,243,133,103,,
434,452,003,303,203,243,133,103,,
435,453,003,303,203,243,133,103,,
436,454,003,303,203,243,133,103,,
437,455,003,303,203,243,133,103,,
438,456,003,303,203,243,133,103,,
439,457,003,303,203,243,133,103,,
440,458,003,303,203,243,133,103,,
441,459,003,303,203,243,133,103,,
442,460,002,302,202,242,132,102,,
443,461,002,302,202,242,132,102,,
444,462,002,302,202,242,132,102,,
445,463,002,302,202,242,132,102,,
446,464,002,302,202,242,132,102,,
447,465,002,302,202,242,132,102,,
448,466,002,302,202,242,132,102,,
449,467,002,302,202,242,132,102,,
450,468,002,302,202,242,132,102,,
451,469,002,302,202,242,132,102,,
452,470,003,303,203,243,133,103,,
453,471,003,303,203,243,133,103,,
454,472,003,303,203,243,133,103,,
455,473,002,302,202,242,132,102,,
456,474,003,303,203,243,133,103,,
457,475,003,303,203,243,133,103,,
458,476,003,303,203,243,133,103,,
459,477,003,303,203,243,133,103,,
460,478,003,303,203,243,133,103,,
461,479,002,302,202,242,132,102,,
462,480,003,303,203,243,133,103,,
463,481,003,303,203,243,133,103,,
464,482,003,303,203,243,133,103,,
465,483,003,303,203,243,133,103,,
466,484,003,303,203,243,133,103,,
467,485,003,303,203,243,133,103,,
468,486,003,303,203,243,133,103,,
469,487,003,303,203,243,133,103,,
470,488,002,302,202,242,132,102,,
471,489,002,302,202,242,132,102,,
472,490,002,302,202,242,132,102,,
473,491,002,302,202,242,132,102,,
474,492,002,302,202,242,132,102,,
475,493,002,302,202,242,132,102,,
476,494,002,302,202,242,132,102,,
477,495,002,302,202,242,132,102,,
478,496,003,303,203,243,133,103,,
479,497,003,303,203,243,133,103,,
480,498,003,303,203,243,133,103,,
481,499,003,303,203,243,133,103,,
482,500,004,304,204,244,134,104,,
483,501,004,304,204,244,134,104,,
484,502,004,304,204,244,134,104,,
485,503,004,304,204,244,134,104,,
486,504,004,304,204,244,134,104,,
487,505,004,304,204,244,134,104,,
488,506,003,303,203,243,133,103,,
489,507,003,303,203,243,133,103,,
490,508,004,304,204,244,134,104,,
491,509,004,304,204,244,134,104,,
492,510,004,304,204,244,134,104,,
493,511,004,304,204,244,134,104,,
494,512,004,304,204,244,134,104,,
495,513,004,304,204,244,134,104,,
496,514,004,304,204,244,134,104,,
497,515,004,304,204,244,134,104,,
498,516,004,304,204,244,134,104,,
499,520,003,303,203,243,133,103,,
500,521,003,303,203,243,133,103,,
501,522,003,303,203,243,133,103,,
502,523,003,303,203,243,133,103,,
503,524,003,303,203,243,133,103,,
504,525,003,303,203,243,133,103,,
505,526,003,303,203,243,133,103,,
506,527,003,303,203,243,133,103,,
507,528,003,303,203,243,133,103,,
508,530,002,302,202,242,132,102,,
509,531,002,302,202,242,132,102,,
510,532,002,302,202,242,132,102,,
511,534,002,302,202,242,132,102,,
512,535,002,302,202,242,132,102,,
513,537,002,302,202,242,132,102,,
